Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
2820,-0.852056715224,-0.547436040243,-0.0428159077962,0.795735397339,1.28493008084,0.0170761967713
2810,-0.858622741699,-0.649120432536,-0.0828126695421,0.565617523193,0.969514126248,-0.0353531163221
2800,-0.831366305881,-0.474472020467,0.00905583699544,0.888049316406,1.31985253228,0.106506004191
2790,-0.677029927572,-0.537160568237,-0.116220770942,0.499194429186,0.721206495497,-0.060209999707
2780,-0.907948472765,-0.758325661553,-0.215945519341,0.0793819851345,0.425322977702,-0.258756362221
2770,-0.887322489421,-0.598874003092,-0.157639567057,0.240024549696,0.521233113607,-0.171871262959
2760,-0.545876227485,-0.30135699802,-0.0740038553874,0.593055631849,0.792888556586,0.00113442089655
2750,-0.53787044949,-0.310289137099,0.111222669813,0.770848778619,1.0171435886,0.181766602347
2740,-0.95694003635,-0.395167829725,-0.0292227003309,0.617803658379,1.05262129042,0.0266610259297
2730,-1.79466383192,-1.11209560818,-0.0851891411675,0.63004286872,0.94480726454,-0.102613320002
2720,-1.51588762071,-0.85792271932,-0.0814337836372,0.602935714722,0.734766981337,-0.100317066691
2710,-1.52409176297,-0.826932161119,-0.092296939426,0.505995271471,0.689466179742,-0.11551144474
2700,-1.27389712863,-0.672653427124,-0.156220753988,0.281209826999,0.58078274197,-0.179137168233
2690,-1.46729159885,-0.72865304735,-0.164167785645,0.33998202006,0.691378275553,-0.175049568532
2680,-0.9839972602,-0.485976003011,-0.086597527398,0.445952657064,0.826418897841,-0.067900019056
2670,-0.720361158583,-0.464580010308,0.0124810112847,0.739300655789,1.27303382026,0.0865984462585
2660,-0.618933444553,-0.445079074436,-0.01162109375,1.18945486281,1.50204094781,0.181548198992
2650,-0.77573123508,-0.564266459147,-0.0232437133789,0.991431359185,1.26982167562,0.0576275241797
2640,-0.680056593153,-0.468291939629,-0.0244855244954,0.753864941067,1.06007876926,0.0761251922043
2630,-0.749600050184,-0.469581883748,-0.0908401489258,0.327977472941,0.523309326172,-0.0866838418924
2620,-0.362747701009,-0.331441582574,-0.0122035556369,0.804455362956,1.03043806288,0.123510358472
2610,-0.512502543132,-0.407755025228,-0.00258365207248,0.904877327813,1.24238213433,0.0927654190675
2600,-0.765087042914,-0.584974865384,0.0389573838976,1.04821061876,1.40369754367,0.151706996378
2590,-0.826869710286,-0.627788001166,0.034871758355,1.01916242811,1.36130913628,0.113813954342
2580,-0.783102586534,-0.506363423665,0.0894321017795,0.905946875678,1.30060170492,0.167529323584
2570,-0.639356825087,-0.504378314548,0.0474860297309,1.15722208659,1.44268629286,0.216842851431
2560,-0.736317443848,-0.517025595771,0.0532333374023,1.18786116706,1.46936459012,0.211456511127
2550,-0.587190416124,-0.469199125502,0.0839571634928,1.12196020338,1.57684139676,0.222176008231
2540,-0.502047390408,-0.358387612237,0.117392052544,1.07078453064,1.43779534234,0.233379183688
2530,-0.807406955295,-0.433879496257,0.128774600559,0.973760325114,1.20109829373,0.215975375023
2520,-1.08027547201,-0.602603674995,0.00368287828233,1.09724110921,1.26796162923,0.138574475321
2510,-1.06811421712,-0.630792338053,-0.0484086778429,0.823853276571,1.31132032606,0.0461582754476
2500,-0.910957505968,-0.685130547418,-0.0866221110026,0.758076909383,1.19107276069,-0.035486468102
2490,-1.23656022814,-0.634342286852,-0.0955119662815,0.445677312215,1.03706665039,-0.107156217157
2480,-0.843063863118,-0.640274234348,-0.0754813300239,0.446074820624,1.1496307373,-0.0622536252141
2470,-1.16568840875,-0.932449942695,-0.17174826728,0.246023220486,0.542695448134,-0.21450941577
2460,-0.737160407172,-0.596567314996,-0.0512613084581,0.509366166857,0.806108940972,-0.0479254060474
2450,-0.805289713542,-0.448493737115,0.0289389716254,0.77390308804,0.88834821913,0.075492659412
2440,-0.632549709744,-0.357987976074,0.10522664388,1.01957306756,1.65439978706,0.22211912073
2430,-0.837379286024,-0.431582438151,-0.0199468824599,0.843809814453,1.37281358507,0.082505284022
2420,-1.10168982612,-0.533122702705,-0.0650049845378,0.826714901394,1.16496971978,0.0414815585691
2410,-0.983027140299,-0.529859525892,-0.00953487820095,0.776468217638,1.10580698649,0.0592900842459
2400,-0.356447516547,-0.258863711887,0.107259284125,0.923051452637,1.29201049805,0.219877955655
2390,-0.936933051215,-0.340679541694,0.0952582465278,0.525866368612,0.707176717122,0.0812278424517
2380,-0.478593953451,-0.232201724582,0.195285458035,0.955843624539,1.22600979275,0.246849193906
2370,-0.801310560438,-0.354898113675,0.196919250488,1.00081455655,1.34505835639,0.231869271542
2360,-0.562577650282,-0.242660386827,0.203822665744,1.07428187052,1.56536678738,0.300148764524
2350,-0.740617540148,-0.30056125217,0.0870614793566,0.738480902778,1.03024546305,0.161173531375
2340,-0.36749657525,-0.299371176826,0.0746150546604,0.689620937771,1.06928982205,0.12950800896
2330,-0.39986521403,-0.237537222968,0.112084706624,0.946351716783,1.32371554905,0.233140372042
2320,-0.460979207357,-0.306016294691,0.106912909614,1.00740987142,1.34867943658,0.227165695574
2310,-0.693517727322,-0.437206615872,0.0735115051269,0.944366217719,1.22622850206,0.178388490651
2300,-0.921322462294,-0.527145775689,0.178322940403,0.917786712646,1.29605933295,0.190359311012
2290,-1.14742685954,-0.623667967055,0.0736032274034,1.28719211155,1.80834265815,0.224547433197
2280,-0.957638041178,-0.705132700602,0.0692269219292,1.23766286214,1.75056491428,0.187004497823
2270,-1.21585812039,-0.784612943861,-0.0742434183757,0.718369030423,0.992695278592,-0.0496689157076
2260,-0.883008490668,-0.681218448215,-0.0412432352702,0.690850541857,1.13975202772,-0.00885225877052
2250,-0.999669223362,-0.636358837552,-0.0886900160048,0.455232145521,0.748974948459,-0.0691051953496
2240,-1.03301171197,-0.599788953993,-0.015340508355,0.679383366903,1.03037261963,-0.00427161892266
2230,-1.26600850423,-0.70413547092,0.0169470045302,0.632646806505,1.05396982829,0.0031361797797
2220,-0.576503838433,-0.283652191162,0.134727562798,1.12786350674,1.54710354275,0.260889816288
2210,-0.440022616916,-0.303930740356,0.234965430366,1.45158102247,1.8533654107,0.420933404777
2200,-0.532195027669,-0.394159978231,0.236713239882,1.32739560445,2.04643334283,0.386905403954
2190,-0.622478739421,-0.470877117581,0.100401221381,1.00078643799,1.35405375163,0.24944790198
